target_id	length	eff_length	est_counts	tpm
gene-B4U62_00005	1341	1061.27	778	13.8404
gene-B4U62_00010	1137	857.265	681	14.9977
gene-B4U62_00015	216	48.8245	72	27.8412
gene-B4U62_00020	1113	833.265	7654	173.42
gene-B4U62_00025	246	55.8355	175	59.1727
gene-B4U62_00030	1917	1637.27	5594	64.5056
gene-B4U62_00035	2466	2186.27	5970	51.5543
rna-B4U62_00040	1556	1276.27	5291.11	78.2707
rna-B4U62_00045	77	20.8485	2.07843	1.88215
rna-B4U62_00050	76	19.8485	35	33.2916
rna-B4U62_00055	2933	2653.27	14418.5	102.597
rna-B4U62_00060	116	19.5777	1.44444	1.39294
gene-B4U62_00065	948	668.265	124	3.50321
gene-B4U62_00070	1467	1187.27	5762	91.6261
gene-B4U62_00075	1332	1052.27	4416	79.2314
gene-B4U62_00080	885	605.265	2194	68.436
gene-B4U62_00085	591	311.305	1704	103.342
gene-B4U62_00090	1278	998.265	786	14.8652
rna-B4U62_00095	93	19.3106	99.7846	97.5579
gene-B4U62_00100	654	374.294	614	30.9706
gene-B4U62_00105	624	344.294	483	26.4857
gene-B4U62_00110	1284	1004.27	801	15.0584
gene-B4U62_00115	546	266.352	415	29.4162
gene-B4U62_00120	486	206.884	362	33.035
rna-B4U62_00125	265	60.2398	7744	2427.03
gene-B4U62_00130	1692	1412.27	1019	13.6223
gene-B4U62_00135	324	76.8024	522	128.319
gene-B4U62_00140	597	317.305	251	14.9345
gene-B4U62_00145	225	50.7195	49	18.2396
gene-B4U62_00150	264	60.0926	128	40.2145
rna-B4U62_00155	1554	1274.27	691.174	10.2405
rna-B4U62_00160	77	20.8485	2.07843	1.88215
rna-B4U62_00165	76	19.8485	35	33.2916
rna-B4U62_00170	2933	2653.27	4952.45	35.2398
rna-B4U62_00175	116	19.5777	1.44444	1.39294
gene-B4U62_00180	195	42.642	40	17.7099
gene-B4U62_00185	615	335.294	935	52.6477
gene-B4U62_00190	1161	881.265	1576	33.7632
gene-B4U62_00195	1443	1163.27	2373	38.5135
gene-B4U62_00200	639	359.294	531	27.9022
gene-B4U62_00205	330	79.302	508	120.941
gene-B4U62_00210	441	163.638	475	54.8029
gene-B4U62_00215	990	710.265	1896	50.3978
gene-B4U62_00220	828	548.265	1907	65.668
gene-B4U62_00225	360	97.091	653	126.978
gene-B4U62_00230	744	464.281	89	3.61912
gene-B4U62_00235	300	68.2925	3	0.829358
gene-B4U62_00240	879	599.265	228	7.18306
gene-B4U62_00245	291	65.5304	10724	3089.64
gene-B4U62_00250	1995	1715.27	1561	17.1817
gene-B4U62_00255	768	488.265	67	2.59067
gene-B4U62_00260	1314	1034.27	11906	217.334
gene-B4U62_00265	561	281.315	252	16.9123
gene-B4U62_00270	879	599.265	719	22.6518
gene-B4U62_00275	873	593.265	337	10.7244
gene-B4U62_00280	261	59.3205	20046	6379.94
gene-B4U62_00285	186	39.7389	427	202.864
gene-B4U62_00290	870	590.265	270	8.63595
gene-B4U62_00295	858	578.265	2188	71.4355
gene-B4U62_00300	378	109.891	1962	337.08
gene-B4U62_00305	294	66.7142	119103	33705.3
gene-B4U62_00310	1371	1091.27	1904	32.9405
gene-B4U62_00315	954	674.265	600	16.8002
gene-B4U62_00320	615	335.294	28022	1577.86
gene-B4U62_00325	567	287.315	1769	116.242
gene-B4U62_00330	231	52.0962	615	222.876
gene-B4U62_00335	3534	3254.27	1766	10.2455
gene-B4U62_00340	537	257.378	1160	85.0903
gene-B4U62_00345	1599	1319.27	73	1.04468
gene-B4U62_00350	1470	1190.27	300	4.75851
gene-B4U62_00355	261	59.3205	19	6.04704
gene-B4U62_00360	303	69.2842	95	25.8871
gene-B4U62_00365	636	356.294	450	23.845
gene-B4U62_00370	378	109.891	2181	374.705
gene-B4U62_00375	387	116.704	10123	1637.64
rna-B4U62_00380	77	20.8485	13.5	12.2251
rna-B4U62_00385	72	19.3636	25.3361	24.7028
gene-B4U62_00390	2484	2204.27	1105	9.46438
gene-B4U62_00395	738	458.281	347	14.2952
gene-B4U62_00400	1017	737.265	62	1.58767
gene-B4U62_00405	1419	1139.27	5675	94.0448
gene-B4U62_00410	543	263.361	714	51.1848
gene-B4U62_00415	1914	1634.27	22249	257.029
