target_id	length	eff_length	est_counts	tpm
gene-B4U62_00005	1341	1069.74	594	8.56015
gene-B4U62_00010	1137	865.738	533	9.49103
gene-B4U62_00015	216	45.3775	78	26.4988
gene-B4U62_00020	1113	841.738	3330	60.9874
gene-B4U62_00025	246	53.1676	118	34.2143
gene-B4U62_00030	1917	1645.74	2241	20.992
gene-B4U62_00035	2466	2194.74	2651	18.6209
rna-B4U62_00040	1556	1284.74	1479.76	17.7561
rna-B4U62_00045	77	19.2812	0.52	0.415758
rna-B4U62_00050	76	20.1724	30.1009	23.0035
rna-B4U62_00055	2933	2661.74	3006.17	17.4109
rna-B4U62_00060	116	17.6088	7.22222	6.32285
gene-B4U62_00065	948	676.738	20	0.455598
gene-B4U62_00070	1467	1195.74	2106	27.1516
gene-B4U62_00075	1332	1060.74	2786	40.4898
gene-B4U62_00080	885	613.738	1061	26.6505
gene-B4U62_00085	591	319.738	784	37.8002
gene-B4U62_00090	1278	1006.74	265	4.05791
rna-B4U62_00095	93	18.5316	1408.8	1171.95
gene-B4U62_00100	654	382.738	300	12.0835
gene-B4U62_00105	624	352.738	240	10.4889
gene-B4U62_00110	1284	1012.74	58	0.882884
gene-B4U62_00115	546	274.754	86	4.82534
gene-B4U62_00120	486	215.013	159	11.4
rna-B4U62_00125	265	58.847	118834	31130.7
gene-B4U62_00130	1692	1420.74	677	7.34594
gene-B4U62_00135	324	76.3108	247	49.8981
gene-B4U62_00140	597	325.738	149	7.05164
gene-B4U62_00145	225	47.5988	26	8.42073
gene-B4U62_00150	264	58.484	13	3.42673
rna-B4U62_00155	1554	1282.74	63.6784	0.765291
rna-B4U62_00160	77	19.2812	0.52	0.415758
rna-B4U62_00165	76	20.1724	30.1009	23.0035
rna-B4U62_00170	2933	2661.74	634.544	3.6751
rna-B4U62_00175	116	17.6088	7.22222	6.32285
gene-B4U62_00180	195	39.5397	3	1.16966
gene-B4U62_00185	615	343.738	361	16.1902
gene-B4U62_00190	1161	889.738	1038	17.9849
gene-B4U62_00195	1443	1171.74	1667	21.932
gene-B4U62_00200	639	367.738	320	13.4148
gene-B4U62_00205	330	78.6128	429	84.1272
gene-B4U62_00210	441	170.808	412	37.1844
gene-B4U62_00215	990	718.738	1632	35.0044
gene-B4U62_00220	828	556.738	1030	28.5206
gene-B4U62_00225	360	96.4655	411	65.6815
gene-B4U62_00230	744	472.738	72	2.34793
gene-B4U62_00235	300	68.0006	5	1.13352
