#	up	fill
AQZ88923.1	K01286	up
AQZ88923.1	K07258	up
AQZ88927.1	K15519	up
AQZ88928.1	K15518	up
AQZ88944.1	K02341	up
AQZ88952.1	K03424	up
AQZ88970.1	K03328	up
AQZ88971.1	K02428	up
AQZ88971.1	K02499	up
AQZ88976.1	K07571	up
AQZ88981.1	K00760	up
AQZ88981.1	K15780	up
AQZ88987.1	K01665	up
AQZ88988.1	K01664	up
AQZ89000.1	K04485	up
AQZ89015.1	K02867	up
AQZ89016.1	K02863	up
AQZ89019.1	K00564	up
AQZ89022.1	K07590	up
AQZ89050.1	K01265	up
AQZ89074.1	K07017	up
AQZ89075.1	K02015	up
AQZ89076.1	K02015	up
AQZ89077.1	K02016	up
AQZ89078.1	K21701	up
AQZ89091.1	K03431	up
AQZ89137.1	K17103	up
AQZ89143.1	K07146	up
AQZ89206.1	K02000	up
AQZ89223.1	K00891	up
AQZ89231.1	K08986	up
AQZ89232.1	K07089	up
AQZ89246.1	K02030	up
AQZ89246.1	K02424	up
AQZ89263.1	K06133	up
AQZ89291.1	K02013	up
AQZ89331.1	K03719	up
AQZ89353.1	K01990	up
AQZ89372.1	K17752	up
AQZ89381.1	K03095	up
AQZ89407.1	K03719	up
AQZ89408.1	K03719	up
AQZ89499.1	K03637	up
AQZ89500.1	K01926	up
AQZ89556.1	K00602	up
AQZ89570.1	K02435	up
lcl|CP020102.1_cds_753	K17763	up
AQZ89673.1	K19005	up
AQZ89700.1	K03284	up
AQZ89790.1	K03216	up
AQZ89810.1	K18967	up
AQZ89821.1	K07025	up
AQZ89844.1	K03308	up
AQZ89888.1	K01802	up
AQZ89888.1	K07533	up
AQZ89899.1	K01990	up
AQZ89910.1	K09017	up
AQZ89931.1	K01897	up
AQZ89949.1	K07024	up
AQZ89949.1	K18654	up
AQZ89950.1	K18653	up
AQZ90023.1	K05519	up
AQZ90023.1	K07335	up
AQZ90024.1	K02254	up
AQZ90044.1	K16511	up
AQZ90053.1	K07816	up
AQZ90054.1	K00858	up
AQZ90059.1	K00285	up
AQZ90059.1	K03153	up
AQZ90061.1	K03148	up
AQZ90061.1	K21029	up
AQZ90062.1	K00941	up
AQZ90180.1	K03306	up
AQZ90181.1	K07220	up
AQZ90214.1	K17763	up
AQZ90268.1	K09457	up
