#"+ESI TIC MS(all) Frag=120.0V SALJA0992.d "
#Point,X(Minutes),Y(Counts)
0,0.036,114687.859375
1,0.039,4695.28857421875
2,0.041,3522.49340820313
3,0.043,913.404113769531
4,0.044,1758.02014160156
5,0.046,2387.48681640625
6,0.048,1293.46008300781
7,0.049,4933.517578125
8,0.051,5436.751953125
9,0.053,3755.22729492188
10,0.055,115431.0625
11,0.059,5116.4453125
12,0.060,3151.01196289063
13,0.062,967.8564453125
14,0.064,4479.36083984375
15,0.065,5202.61181640625
16,0.067,3275.81298828125
17,0.070,114000.3515625
18,0.073,1945.13818359375
19,0.075,1606.21081542969
20,0.076,2312.48022460938
21,0.079,118351.765625
22,0.082,5089.40869140625
23,0.084,3298.44140625
24,0.085,1588.97546386719
25,0.087,5660.47802734375
26,0.089,4769.5693359375
27,0.090,3558.88110351563
28,0.093,121232.84375
29,0.095,114411.2421875
30,0.098,934.510986328125
31,0.100,736.28271484375
32,0.101,736.28271484375
33,0.104,119059.5
34,0.107,1866.37316894531
35,0.109,1336.64672851563
36,0.111,1608.87219238281
37,0.113,115880.953125
38,0.116,4696.37255859375
39,0.118,3770.01245117188
40,0.120,1029.58251953125
41,0.121,5175.16015625
42,0.123,5101.32470703125
43,0.125,3711.28491210938
44,0.127,115982.3984375
45,0.129,114373.265625
46,0.131,118144.2421875
47,0.132,120239.78125
48,0.134,116717.40625
49,0.136,117142.6484375
50,0.139,2249.23461914063
51,0.141,1530.8349609375
52,0.142,2074.470703125
53,0.145,120618.0078125
54,0.148,4757.263671875
55,0.150,3801.90966796875
56,0.152,732.830688476563
57,0.153,4936.06689453125
58,0.155,4224.34228515625
59,0.157,4352.53564453125
60,0.158,1477.76440429688
61,0.160,385.966796875
62,0.162,102.242294311523
63,0.164,116985.078125
64,0.166,119835.8203125
65,0.168,117588.3203125
66,0.169,119923.5390625
67,0.171,120924.046875
68,0.173,116663.171875
69,0.174,120788.1484375
70,0.178,2679.68359375
71,0.179,1524.2705078125
72,0.181,1653.92858886719
73,0.184,120826.6953125
74,0.187,4340.76220703125
75,0.189,4033.50927734375
76,0.190,1728.68017578125
77,0.192,4841.61279296875
78,0.193,5478.0361328125
79,0.195,4558.67626953125
80,0.197,825.83984375
81,0.198,390.782897949219
82,0.200,42.3340911865234
83,0.203,119650.453125
84,0.204,120906.9140625
85,0.206,121563.25
86,0.208,113022.84375
87,0.209,121124.46875
88,0.211,114757.7421875
89,0.213,112354.5703125
90,0.215,115625.8203125
91,0.218,1837.20544433594
92,0.219,1604.71716308594
93,0.221,1125.80224609375
94,0.224,112938.6171875
95,0.227,4854.4013671875
96,0.229,4282.06591796875
97,0.230,756.33740234375
98,0.232,1326.13256835938
99,0.234,430.56982421875
100,0.235,201.558944702148
101,0.237,4486.66796875
102,0.239,6623.3310546875
103,0.240,4897.3671875
104,0.243,121912.1171875
105,0.245,119073.015625
106,0.246,119612.9609375
107,0.248,118635.0234375
108,0.250,115989.7578125
109,0.251,112023.890625
110,0.253,117304.96875
111,0.255,117910.25
112,0.258,4984.70947265625
113,0.260,2707.40942382813
114,0.261,1398.75463867188
115,0.263,2110.45068359375
116,0.265,1986.28051757813
117,0.266,1265.77673339844
118,0.269,116464.328125
119,0.272,4387.7138671875
120,0.274,5695.89697265625
121,0.275,3729.98168945313
122,0.277,1400.50366210938
123,0.279,683.776123046875
124,0.280,55.6022720336914
125,0.283,121147.125
126,0.285,116069.984375
127,0.286,113345.7421875
128,0.288,116313.75
129,0.290,123240.6953125
130,0.292,119102.15625
131,0.293,118252.75
132,0.296,6030.20654296875
133,0.298,3302.2880859375
134,0.300,1701.21020507813
135,0.301,1517.65344238281
136,0.303,1586.97314453125
137,0.305,1878.41748046875
138,0.307,118369.2265625
139,0.311,4170.267578125
140,0.312,4358.955078125
141,0.314,4032.35009765625
142,0.316,740.963500976563
143,0.317,307.160247802734
144,0.319,48.2314796447754
145,0.322,114614.3203125
146,0.323,113673.078125
147,0.325,110232.921875
148,0.327,115169.765625
149,0.328,118560.0546875
150,0.330,115166.5390625
151,0.332,118473
152,0.335,3817.12670898438
153,0.337,3710.16455078125
154,0.338,1616.49694824219
155,0.340,2082.49780273438
156,0.342,1691.04577636719
157,0.343,1590.6455078125
158,0.346,113284.9921875
159,0.349,4452.11279296875
160,0.351,5199.7431640625
161,0.352,3965.7880859375
162,0.355,123306.8984375
163,0.357,112099.3046875
164,0.360,1010.81506347656
165,0.362,310.748046875
166,0.363,131.803039550781
167,0.366,117519.0390625
168,0.368,110863.5546875
169,0.369,117916.8984375
170,0.371,121198.1953125
171,0.374,5464.306640625
172,0.376,3400.12377929688
173,0.378,1238.68957519531
174,0.379,1727.75646972656
175,0.381,1015.05426025391
176,0.383,2018.15625
177,0.386,116102.015625
178,0.389,4626.76025390625
179,0.390,4945.13134765625
180,0.392,3902.00146484375
181,0.395,115607.6640625
182,0.398,1024.00183105469
183,0.400,543.308654785156
184,0.401,60.0013732910156
185,0.404,116191.578125
186,0.406,117541.9765625
187,0.407,112153.46875
188,0.409,111896.046875
189,0.411,111651.09375
190,0.414,4599.19189453125
191,0.416,3395.65893554688
192,0.417,1009.21173095703
193,0.419,2528.64453125
194,0.421,1914.2216796875
195,0.422,1565.96923828125
196,0.425,114304.515625
197,0.428,4872.4072265625
198,0.430,4540.95751953125
199,0.432,3819.58715820313
200,0.434,117329.671875
201,0.436,119447.09375
202,0.438,113425.84375
203,0.439,117944.28125
204,0.441,113675.8515625
205,0.443,122275.703125
206,0.446,785.880920410156
207,0.448,461.501098632813
208,0.449,461.501098632813
209,0.452,116142.484375
210,0.455,5092.546875
211,0.457,3192.39453125
212,0.458,956.013549804688
213,0.460,4874.1435546875
214,0.462,5576.41259765625
215,0.463,3298.62670898438
216,0.465,1493.5087890625
217,0.467,2273.6083984375
218,0.468,1573.85583496094
219,0.471,107993.015625
220,0.473,113967.6015625
221,0.474,110270.515625
222,0.476,112381.5859375
223,0.478,113268.6171875
224,0.479,116569.8359375
225,0.481,114267.671875
226,0.483,113547.9375
227,0.486,4662.6201171875
228,0.488,3856.28955078125
229,0.489,1147.06115722656
230,0.491,3724.68676757813
231,0.493,4661.9970703125
232,0.494,4153.0947265625
233,0.496,1480.97912597656
234,0.498,1090.29736328125
235,0.499,1457.57849121094
236,0.502,109490.9375
237,0.504,118094.59375
238,0.505,113763.25
239,0.507,113382.96875
240,0.509,107939.8046875
241,0.510,110660.703125
242,0.512,107701.25
243,0.514,108718.953125
244,0.515,112863.71875
245,0.519,804.020629882813
246,0.520,528.138549804688
247,0.522,16.125
248,0.525,107524.1484375
249,0.528,4698.7265625
250,0.530,2371.38818359375
251,0.531,1550.38122558594
252,0.533,1399.73840332031
253,0.535,2435.91967773438
254,0.536,2273.2158203125
255,0.539,106384.078125
256,0.542,4206.63037109375
257,0.544,4887.1884765625
258,0.545,3649.03955078125
259,0.548,113803.0703125
260,0.550,107262.6640625
261,0.551,109691.5703125
262,0.553,109121.6015625
263,0.555,108996.5703125
264,0.557,109769.9375
265,0.560,4682.90771484375
266,0.561,3237.35009765625
267,0.563,1171.58239746094
268,0.565,1572.15551757813
269,0.566,1131.02905273438
270,0.568,800.929992675781
271,0.571,111503.8515625
272,0.572,115958.6171875
273,0.576,465.869750976563
274,0.577,295.994567871094
275,0.579,25.2000007629395
276,0.581,4737.28857421875
277,0.582,3566.69921875
278,0.584,3075.1064453125
279,0.587,116820.3046875
280,0.588,111641.15625
281,0.590,109632.171875
282,0.592,112024.9609375
283,0.593,108506.1171875
284,0.595,106020.1171875
285,0.598,5196.89794921875
286,0.600,3185.9912109375
287,0.602,1245.64099121094
288,0.604,107262.265625
289,0.606,107439.6796875
290,0.608,106359.796875
291,0.611,1592.32556152344
292,0.613,1862.46508789063
293,0.614,2059.73022460938
294,0.617,108268.859375
295,0.619,108658.40625
296,0.622,4382.7607421875
297,0.623,4482.12939453125
298,0.625,4114.1533203125
299,0.628,111623
300,0.631,1191.04614257813
301,0.633,51.0086212158203
302,0.634,51.0086212158203
303,0.637,109170.1171875
304,0.640,4160.35888671875
305,0.642,3411.59350585938
306,0.644,883.875427246094
307,0.646,104329.578125
308,0.648,107132.546875
309,0.651,1870.39331054688
310,0.653,1351.3759765625
311,0.655,2059.82470703125
312,0.657,104772.5390625
313,0.659,105624.3984375
314,0.661,112273.875
315,0.662,108028.078125
316,0.664,112235.296875
317,0.667,3938.82543945313
318,0.669,4635.94384765625
319,0.671,4280.32275390625
320,0.673,111869.671875
321,0.676,4486.16650390625
322,0.678,3519.52172851563
323,0.680,905.256958007813
324,0.681,1153.79870605469
325,0.683,1153.79870605469
326,0.685,1153.79870605469
327,0.687,105185.609375
328,0.691,1220.86840820313
329,0.692,1611.69201660156
330,0.694,1800.44030761719
331,0.697,108787.609375
332,0.698,112618.3671875
333,0.700,108154.8671875
334,0.702,107225.515625
335,0.703,107965.546875
336,0.707,3950.49609375
337,0.708,3933.31811523438
338,0.710,2970.87548828125
339,0.713,108672.4140625
340,0.716,5263.837890625
341,0.718,3558.68041992188
342,0.719,2013.58093261719
343,0.722,108986.7578125
344,0.725,2182.33032226563
345,0.727,1806.31994628906
346,0.728,1297.81640625
347,0.731,112061.03125
348,0.734,496.079742431641
349,0.736,479.164337158203
350,0.738,479.164337158203
351,0.740,108036.734375
352,0.742,111018.421875
353,0.744,116881.203125
354,0.747,4836.6123046875
355,0.749,2934.86596679688
356,0.750,817.416442871094
357,0.752,3887.74487304688
358,0.754,4102.91552734375
359,0.755,3812.900390625
360,0.758,111337.65625
361,0.761,1599.67980957031
362,0.763,1337.38952636719
363,0.765,1110.15356445313
364,0.767,103658.59375
365,0.770,974.894653320313
366,0.772,211.023361206055
367,0.774,211.023361206055
368,0.776,109534.59375
369,0.778,108833.1171875
370,0.780,108944.7734375
371,0.781,107954.78125
372,0.783,106741.8984375
373,0.786,4469.6171875
374,0.788,3201.86328125
375,0.790,857.25732421875
376,0.792,110542.3515625
377,0.796,1663.00659179688
378,0.797,1595.51318359375
379,0.799,1681.96374511719
380,0.802,109036.2265625
381,0.805,1001.38488769531
382,0.807,332.138580322266
383,0.808,36.6500015258789
384,0.811,109314.1640625
385,0.814,3475.85961914063
386,0.816,4362.51513671875
387,0.817,3039.92895507813
388,0.820,106402.8046875
389,0.822,110390.2734375
390,0.824,110579.15625
391,0.827,5419.4892578125
392,0.828,3826.82788085938
393,0.830,1638.76220703125
394,0.832,1488.73767089844
395,0.833,1817.95483398438
396,0.835,1563.84985351563
397,0.838,110785.671875
398,0.839,103623.7421875
399,0.841,103189.375
400,0.843,106455.09375
401,0.846,4121.337890625
402,0.848,3890.97094726563
403,0.849,3551.6767578125
404,0.852,109136
405,0.855,1596.07409667969
406,0.857,228.317153930664
407,0.859,138.141021728516
408,0.861,109835.9609375
409,0.863,102328.875
410,0.866,4803.9453125
411,0.868,3886.35571289063
412,0.870,964.641845703125
413,0.871,1870.24072265625
414,0.873,1551.1728515625
415,0.874,1024.98095703125
416,0.877,112935.109375
417,0.879,109397.0859375
418,0.881,107430.3359375
419,0.882,112214.59375
420,0.884,106852.25
421,0.887,4869.7412109375
422,0.889,5023.7314453125
423,0.890,3554.17163085938
424,0.893,109021.8515625
425,0.895,106777.5234375
426,0.896,110271.421875
427,0.898,110981.703125
428,0.901,1689.30261230469
429,0.903,438.105499267578
430,0.905,8
431,0.907,111863.3359375
432,0.911,3992.8984375
433,0.912,2319.31958007813
434,0.914,1254.87097167969
435,0.916,2296.11645507813
436,0.917,1889.07531738281
437,0.919,1108.28332519531
438,0.922,107195.6171875
439,0.923,104727.8125
440,0.925,110877.0703125
441,0.927,105189.9609375
442,0.930,4361.95166015625
443,0.932,3457.64038085938
444,0.933,3336.64428710938
445,0.936,110577.4921875
446,0.938,110527.34375
447,0.941,1328.67053222656
448,0.942,300.14306640625
449,0.944,199.635650634766
450,0.947,111736.0234375
451,0.950,4447.6103515625
452,0.952,4011.00561523438
453,0.953,1325.44018554688
454,0.955,1383.31408691406
455,0.957,1860.84509277344
456,0.958,1834.00476074219
457,0.961,125177.1796875
458,0.963,121767.703125
459,0.964,130471.1171875
460,0.966,132040.9375
461,0.969,3820.890625
462,0.971,5088.37744140625
463,0.973,3835.02783203125
464,0.974,4547.6337890625
465,0.976,4059.47705078125
466,0.978,2894.30444335938
467,0.980,160186.234375
468,0.984,6127.3056640625
469,0.985,4445.90966796875
470,0.987,782.086242675781
471,0.988,2085.64404296875
472,0.990,1100.54772949219
473,0.992,79.3024215698242
474,0.993,609.287231445313
475,0.995,376.792358398438
476,0.997,558.9833984375
477,0.999,122986.3515625
478,1.003,768.020141601563
479,1.004,1185.65771484375
480,1.006,270.503540039063
481,1.009,105624.984375
482,1.012,5153.46484375
483,1.014,6308.09521484375
484,1.015,3273.59619140625
485,1.017,2355.69213867188
486,1.019,899.854736328125
487,1.020,37
488,1.023,99058.6484375
489,1.025,99333.6640625
490,1.026,101251.859375
491,1.028,99938.8984375
492,1.030,96348.734375
493,1.031,98359.1796875
494,1.035,892.012145996094
495,1.036,522.413391113281
496,1.038,96.5568161010742
497,1.041,108158.875
498,1.044,1593.28479003906
499,1.045,184.046295166016
500,1.047,184.046295166016
501,1.049,5327.17333984375
502,1.050,8102.9599609375
503,1.052,7828.10205078125
504,1.054,1656.78698730469
505,1.055,1805.80627441406
506,1.057,1017.90954589844
507,1.060,165351.5625
508,1.063,13739.58203125
509,1.065,14649.037109375
510,1.066,7837.72216796875
511,1.068,5111.92236328125
512,1.070,4404.5078125
513,1.071,4087.07373046875
514,1.074,265577.78125
515,1.077,24535.18359375
516,1.079,20347.837890625
517,1.080,12997.7724609375
518,1.082,5753.32177734375
519,1.084,4006.63403320313
520,1.085,1422.09631347656
521,1.087,3849.05395507813
522,1.089,3766.58666992188
523,1.090,1795.00659179688
524,1.093,491954.34375
525,1.096,80425.515625
526,1.098,73712.9609375
527,1.100,35019.171875
528,1.101,9557.6767578125
529,1.103,9352.9150390625
530,1.105,5793.626953125
531,1.107,661727.6875
532,1.111,60982.1328125
533,1.112,53389.140625
534,1.114,19424.451171875
535,1.116,17644.92578125
536,1.117,18978.787109375
537,1.119,9407.0810546875
538,1.120,6162.88525390625
539,1.122,4723.892578125
540,1.124,1653.45593261719
541,1.126,827415.125
542,1.130,56755.453125
543,1.131,55672.02734375
544,1.133,21050.36328125
545,1.135,34174.69140625
546,1.136,29385.00390625
547,1.138,12817.314453125
548,1.140,21390.8984375
549,1.141,24696.77734375
550,1.143,22195.89453125
551,1.146,867916.6875
552,1.149,41523.0234375
553,1.151,34762.38671875
554,1.152,12923.3876953125
555,1.154,23980.40625
556,1.156,22917.21875
557,1.157,10723.7158203125
558,1.159,12153.572265625
559,1.160,9996.568359375
560,1.162,5759.30908203125
561,1.165,896076.625
562,1.168,40257.3046875
563,1.170,34047.28125
564,1.171,14916.140625
565,1.173,35656.109375
566,1.175,32694.427734375
567,1.176,17025.11328125
568,1.178,52848.73046875
569,1.180,27461.009765625
570,1.181,13987.47265625
571,1.184,920444
572,1.187,19403.95703125
573,1.189,22650.412109375
574,1.191,9021.955078125
575,1.192,24015.1171875
576,1.194,18294.064453125
577,1.196,18973.21875
578,1.197,18324.890625
579,1.199,16839.869140625
580,1.200,4347.5400390625
581,1.203,879431.125
582,1.206,73072.671875
583,1.208,35738.9296875
584,1.210,17973.224609375
585,1.211,31570.681640625
586,1.213,31943.2421875
587,1.215,13555.1220703125
588,1.216,9301.7109375
589,1.218,9239.8701171875
590,1.220,5645.70068359375
591,1.222,790812.9375
592,1.226,21113.341796875
593,1.227,20317.451171875
594,1.229,14100.0517578125
595,1.231,11789.6435546875
596,1.232,14069.5888671875
597,1.234,5551.9970703125
598,1.236,9360.5244140625
599,1.237,6292.39453125
600,1.239,2398.10766601563
601,1.242,675639.9375
602,1.245,55148.11328125
603,1.246,25768.755859375
604,1.248,12477.4453125
605,1.250,29142.3828125
606,1.251,28049.33203125
607,1.253,10567.6982421875
608,1.255,8554.1787109375
609,1.256,7650.40380859375
610,1.258,2839.54760742188
611,1.261,582791.6875
612,1.264,27103.904296875
613,1.266,25465.81640625
614,1.267,22998.169921875
615,1.269,4915.1630859375
616,1.271,6040.66943359375
617,1.272,2592.314453125
618,1.274,2817.94458007813
619,1.276,3467.10498046875
620,1.277,1269.97790527344
621,1.280,515709.3125
622,1.283,47684.7421875
623,1.285,24839.546875
624,1.286,12378.46875
625,1.288,16340.486328125
626,1.290,12838.705078125
627,1.291,5928.64794921875
628,1.293,4868.759765625
629,1.295,4253.95751953125
630,1.296,1602.8017578125
631,1.299,582702.625
632,1.302,18758.521484375
633,1.304,15113.0146484375
634,1.306,14216.9697265625
635,1.307,14257.1171875
636,1.309,13580.98046875
637,1.311,12477.4013671875
638,1.312,2062.66650390625
639,1.314,1720.15478515625
640,1.316,522.352416992188
641,1.318,948348.3125
642,1.321,204103.21875
643,1.323,91674.2265625
644,1.325,46996.8125
645,1.326,4546.205078125
646,1.328,3918.78588867188
647,1.330,841.283752441406
648,1.331,5081.884765625
649,1.333,2252.1220703125
650,1.335,850.826232910156
651,1.337,952146.4375
652,1.341,19743.56640625
653,1.342,21106.201171875
654,1.344,19138.51171875
655,1.346,5602.4208984375
656,1.347,5227.2646484375
657,1.349,4780.6767578125
658,1.351,3356.3095703125
659,1.352,2681.20532226563
660,1.354,2596.1748046875
661,1.357,791658.125
662,1.360,93678
663,1.361,44684.6953125
664,1.363,19439.677734375
665,1.365,11779.6376953125
666,1.366,9455.650390625
667,1.368,1791.40979003906
668,1.370,4960.26806640625
669,1.371,5286.72412109375
670,1.373,3535.7919921875
671,1.376,640948.0625
672,1.379,38150.61328125
673,1.381,39245.0859375
674,1.382,31329.826171875
675,1.384,7183.71337890625
676,1.386,6528.74365234375
677,1.387,5660.01123046875
678,1.389,1179.18225097656
679,1.391,677.827209472656
680,1.392,186.345825195313
681,1.395,510302.8125
682,1.398,44029.3203125
683,1.400,19623.08203125
684,1.401,10501.38671875
685,1.403,5629.537109375
686,1.405,4580.35791015625
687,1.406,1186.6181640625
688,1.408,2341.82055664063
689,1.410,2289.00122070313
690,1.411,1884.4775390625
691,1.414,396570.9375
692,1.417,19671.51171875
693,1.419,21123
694,1.421,17547.267578125
695,1.422,3372.51025390625
696,1.424,3948.29248046875
697,1.426,3203.28759765625
698,1.427,2994.716796875
699,1.429,2705.58081054688
700,1.431,3062.96997070313
701,1.433,334798.6875
702,1.437,18810.685546875
