#"+ESI TIC MS(all) Frag=120.0V SALJA0991.d "
#Point,X(Minutes),Y(Counts)
0,0.037,121377.828125
1,0.040,5274.7412109375
2,0.042,4204.36376953125
3,0.044,726.218322753906
4,0.045,5314.34423828125
5,0.047,3936.40673828125
6,0.049,3965.56616210938
7,0.050,1498.59826660156
8,0.052,2118.12451171875
9,0.054,1302.08654785156
10,0.056,117976.21875
11,0.060,5566.85107421875
12,0.061,3537.43139648438
13,0.063,1373.94567871094
14,0.065,1844.70471191406
15,0.066,1622.08972167969
16,0.068,1274.84240722656
17,0.069,4169.158203125
18,0.071,6012.02099609375
19,0.073,4630.65380859375
20,0.075,115754.3984375
21,0.079,1429.20080566406
22,0.080,404.795013427734
23,0.082,404.795013427734
24,0.085,115246.9609375
25,0.088,4058.02465820313
26,0.090,3201.51293945313
27,0.091,1508.9482421875
28,0.093,2031.25756835938
29,0.095,2194.61547851563
30,0.096,1313.33422851563
31,0.098,5249.53759765625
32,0.100,4956.65771484375
33,0.101,3868.72778320313
34,0.104,117133.2734375
35,0.106,120532.2109375
36,0.107,119126.1875
37,0.109,117873.0234375
38,0.111,118015.609375
39,0.112,114862.703125
40,0.114,115201.453125
41,0.116,117200.2421875
42,0.119,3307.66430664063
43,0.121,3929.02563476563
44,0.122,1005.89886474609
45,0.124,1852.34948730469
46,0.126,2326.22143554688
47,0.127,1830.44812011719
48,0.129,5260.03515625
49,0.130,5336.9326171875
50,0.132,5201.99072265625
51,0.135,119574.4375
52,0.136,114623.3359375
53,0.140,1447.021484375
54,0.141,588.517333984375
55,0.143,41.0131568908691
56,0.146,121148.828125
57,0.147,116064.9296875
58,0.149,110182.125
59,0.151,111584.6328125
60,0.152,119251.4296875
61,0.154,117213.8515625
62,0.157,5149.7568359375
63,0.159,2863.57153320313
64,0.161,1146.40368652344
65,0.162,1490.50964355469
66,0.164,1534.6865234375
67,0.166,1109.65832519531
68,0.168,120070.03125
69,0.172,5720.94580078125
70,0.173,4688.61962890625
71,0.175,4252.62109375
72,0.178,111950.390625
73,0.179,114462.1015625
74,0.181,120935.8046875
75,0.183,107410.03125
76,0.186,1037.26782226563
77,0.188,548.02099609375
78,0.189,88.0562133789063
79,0.192,115981.453125
80,0.194,115232.28125
81,0.197,5764.18505859375
82,0.198,3171.3046875
83,0.200,1281.53930664063
84,0.202,1908.34118652344
85,0.203,1239.12902832031
86,0.205,1500.47912597656
87,0.208,115571.4375
88,0.211,4733.88671875
89,0.213,4699.72607421875
90,0.214,3145.21606445313
91,0.217,120014.3671875
92,0.219,110402.7265625
93,0.220,118919.0546875
94,0.222,112205.4140625
95,0.224,117812.671875
96,0.225,122152.2890625
97,0.227,115704.5
98,0.230,1433.58068847656
99,0.232,358.743011474609
100,0.234,48.0919303894043
101,0.236,115630.4453125
102,0.240,5361.263671875
103,0.241,4307.70556640625
104,0.243,774.606811523438
105,0.245,5246.31689453125
106,0.246,6574.671875
107,0.248,4866.28857421875
108,0.250,2039.89929199219
109,0.251,1477.78100585938
110,0.253,1478.5
111,0.256,115392.75
112,0.257,118368.078125
113,0.259,117132.75
114,0.261,115507.9140625
115,0.262,117219.71875
116,0.264,115051.0078125
117,0.266,117875.640625
118,0.267,113154.4765625
119,0.271,5432.1923828125
120,0.272,3931.11987304688
121,0.274,1394.22534179688
122,0.276,1809.3017578125
123,0.277,1667.37133789063
124,0.279,2229.61352539063
125,0.280,5356.98974609375
126,0.282,4758.03125
127,0.284,3848.52563476563
128,0.286,114543.8203125
129,0.290,1126.14782714844
130,0.291,403.16064453125
131,0.293,18.0559539794922
132,0.296,117762.9453125
133,0.297,118527.625
134,0.299,114559.5390625
135,0.301,115691.7890625
136,0.302,111167.4375
137,0.304,107036.1015625
138,0.306,113597.984375
139,0.307,114040.171875
140,0.311,4112.8759765625
141,0.312,2993.97143554688
142,0.314,1459.36572265625
143,0.316,3706.53198242188
144,0.317,4295.04443359375
145,0.319,4756.1201171875
146,0.322,114740.71875
147,0.325,1742.73962402344
148,0.327,2476.4111328125
149,0.328,1707.82531738281
150,0.330,711.830810546875
151,0.332,394.797180175781
152,0.333,57.8907852172852
153,0.336,115934.453125
154,0.338,117394.6328125
155,0.339,116583.03125
156,0.341,114339.1171875
157,0.343,114199.84375
158,0.344,111059.2109375
159,0.346,117197.421875
160,0.349,5215.27294921875
161,0.351,3498.71362304688
162,0.353,883.902160644531
163,0.354,5437.12109375
164,0.356,4079.3486328125
165,0.358,3735.55102539063
166,0.360,114774.46875
167,0.363,2077.62377929688
168,0.365,1804.05358886719
169,0.367,1430.45288085938
170,0.368,1106.3662109375
171,0.370,371.368316650391
172,0.372,22.0178565979004
173,0.374,118295.5390625
174,0.376,111287.6796875
175,0.378,113361.734375
176,0.379,114021.984375
177,0.381,114540.1328125
178,0.383,115919.2578125
179,0.384,114284.2890625
180,0.388,4704.44970703125
181,0.389,3853.16967773438
182,0.391,942.871154785156
183,0.393,3937.40698242188
184,0.394,3766.56030273438
185,0.396,3803.18725585938
186,0.399,118349.0078125
187,0.402,1917.25366210938
188,0.404,1954.52709960938
189,0.405,1561.34118652344
190,0.408,115650.6796875
191,0.410,117467.8203125
192,0.411,115186.3671875
193,0.413,113029.5390625
194,0.415,112319.9765625
195,0.416,113270.1796875
196,0.418,117044.7578125
197,0.421,911.19970703125
198,0.423,476.165069580078
199,0.425,48.3353157043457
200,0.427,109754.359375
201,0.431,4485.6767578125
202,0.432,4176.15869140625
203,0.434,625.306762695313
204,0.435,2209.46215820313
205,0.437,1519.79870605469
206,0.439,1854.42687988281
207,0.440,4984.966796875
208,0.442,3162.140625
209,0.444,3300.01220703125
210,0.446,110148.1953125
211,0.448,111342.28125
212,0.450,114827.453125
213,0.451,117947.0625
214,0.453,111565.4921875
215,0.455,118524.78125
216,0.457,113870.828125
217,0.458,111273.53125
218,0.461,4646.31494140625
219,0.463,3192.64306640625
220,0.465,1059.0498046875
221,0.466,4935.60888671875
222,0.468,4906.96142578125
223,0.470,3840.09448242188
224,0.471,1439.87451171875
225,0.473,1569.501953125
226,0.475,1747.02685546875
227,0.477,110875.84375
228,0.479,111698.734375
229,0.482,397.838043212891
230,0.484,516.262390136719
231,0.486,516.262390136719
232,0.488,119514.15625
233,0.490,117613.6953125
234,0.492,115529.4609375
235,0.493,112034.4296875
236,0.495,111990.0390625
237,0.497,106186.8203125
238,0.500,4137.97314453125
239,0.502,3142.8623046875
240,0.503,975.9619140625
241,0.505,1622.41918945313
242,0.507,1430.44445800781
243,0.508,1265.10485839844
244,0.511,113408.515625
245,0.514,4625.07666015625
246,0.516,3848.494140625
247,0.517,3133.95092773438
248,0.520,109799.90625
249,0.522,109217.78125
250,0.524,112662.140625
251,0.525,109160.5
252,0.527,113686.9375
253,0.529,108778.75
254,0.530,107959.859375
255,0.532,114498.0625
256,0.535,1043.80554199219
257,0.537,449.343414306641
258,0.538,76.0897445678711
259,0.541,112438.796875
260,0.544,4288.56005859375
261,0.546,2805.0947265625
262,0.548,1202.697265625
263,0.549,1979.56201171875
264,0.551,1493.09411621094
265,0.553,1494.30603027344
266,0.554,4454.36572265625
267,0.556,4905.57763671875
268,0.558,3351.40600585938
269,0.560,107537.171875
270,0.562,109318.0078125
271,0.564,112311.8828125
272,0.565,111460.8828125
273,0.567,110420.453125
274,0.569,113067.21875
275,0.570,109129.03125
276,0.572,110210.7265625
277,0.574,109466.4296875
278,0.577,4442.79541015625
279,0.579,3098.1943359375
280,0.580,763.748413085938
281,0.582,4542.236328125
282,0.584,4352.37109375
283,0.585,3961.20458984375
284,0.587,1661.05810546875
285,0.589,1659.86145019531
286,0.590,821.27587890625
287,0.593,107769.359375
288,0.595,108266.28125
289,0.596,110722.0390625
290,0.598,105907.703125
291,0.600,108797.453125
292,0.603,984.676635742188
293,0.605,787.822143554688
294,0.606,787.822143554688
295,0.609,103979.40625
296,0.611,105344.03125
297,0.612,107636.859375
298,0.616,5779.27490234375
299,0.617,3370.48388671875
300,0.619,922.240783691406
301,0.620,1413.57434082031
302,0.622,1744.18432617188
303,0.624,1696.90625
304,0.626,110568.3671875
305,0.628,99898.3828125
306,0.630,110415.4921875
307,0.632,110170.0390625
308,0.635,3816.9560546875
309,0.636,3916.67700195313
310,0.638,2811.72583007813
311,0.641,109739.8046875
312,0.642,105061.265625
313,0.646,764.603393554688
314,0.647,384.070281982422
315,0.649,90.0769195556641
316,0.652,111683.5703125
317,0.655,3978.55200195313
318,0.657,3196.95043945313
319,0.658,878.8740234375
320,0.660,2111.75170898438
321,0.662,2293.1630859375
322,0.663,1632.10595703125
323,0.666,111219.8671875
324,0.668,108413.6640625
325,0.669,108287.5625
326,0.671,101273.03125
327,0.674,4769.63623046875
328,0.676,3507.33203125
329,0.678,3490.3583984375
330,0.680,104160.1171875
331,0.682,105557.4609375
332,0.684,108170.296875
333,0.687,4231.80908203125
334,0.688,3359.05151367188
335,0.690,878.174194335938
336,0.692,1692.31359863281
337,0.693,1502.89892578125
338,0.695,1400.05932617188
339,0.697,1004.88232421875
340,0.698,306.690643310547
341,0.700,12.1838235855103
342,0.703,105602.921875
343,0.704,110611.078125
344,0.706,108361.171875
345,0.708,110355.28125
346,0.709,108364.8515625
347,0.711,107418.609375
348,0.713,108901.1015625
349,0.716,4852.97119140625
350,0.718,4238.453125
351,0.719,3342.35961914063
352,0.722,109347.2734375
353,0.724,109927.2890625
354,0.727,5578.63134765625
355,0.729,2908.95581054688
