target_id	length	eff_length	est_counts	tpm
gene-B4U62_00005	1341	1073.42	365	6.15003
gene-B4U62_00010	1137	869.418	376	7.8219
gene-B4U62_00015	216	43.4063	80	33.3342
gene-B4U62_00020	1113	845.418	5091	108.914
gene-B4U62_00025	246	50.2244	83	29.8893
gene-B4U62_00030	1917	1649.42	2339	25.648
gene-B4U62_00035	2466	2198.42	2721	22.3857
rna-B4U62_00040	1556	1288.42	2609.21	36.6274
rna-B4U62_00045	77	23.9831	1.57627	1.18872
rna-B4U62_00050	76	22.9831	38.4158	30.2312
rna-B4U62_00055	2933	2665.42	10766.7	73.0585
rna-B4U62_00060	116	21.4417	1.66667	1.40586
gene-B4U62_00065	948	680.418	67	1.78095
gene-B4U62_00070	1467	1199.42	2462	37.1254
gene-B4U62_00075	1332	1064.42	2956	50.2279
gene-B4U62_00080	885	617.418	1055	30.9048
gene-B4U62_00085	591	323.418	979	54.7484
gene-B4U62_00090	1278	1010.42	616	11.0264
rna-B4U62_00095	93	21.458	377.293	318.011
gene-B4U62_00100	654	386.418	434	20.3135
gene-B4U62_00105	624	356.418	334	16.9488
gene-B4U62_00110	1284	1016.42	102	1.81502
gene-B4U62_00115	546	278.438	219	14.2256
gene-B4U62_00120	486	218.614	289	23.9096
rna-B4U62_00125	265	55.2545	19225	6292.92
gene-B4U62_00130	1692	1424.42	782	9.92939
gene-B4U62_00135	324	75.1715	245	58.9476
gene-B4U62_00140	597	329.418	123	6.75322
gene-B4U62_00145	225	44.96	54	21.7231
gene-B4U62_00150	264	54.9424	23	7.57136
rna-B4U62_00155	1554	1286.42	153.758	2.16177
rna-B4U62_00160	77	23.9831	1.57627	1.18872
rna-B4U62_00165	76	22.9831	38.4158	30.2312
rna-B4U62_00170	2933	2665.42	2788	18.9182
rna-B4U62_00175	116	21.4417	1.66667	1.40586
gene-B4U62_00180	195	38.3337	5	2.35908
gene-B4U62_00185	615	347.418	848	44.1465
gene-B4U62_00190	1161	893.418	1107	22.4102
gene-B4U62_00195	1443	1175.42	1382	21.2652
gene-B4U62_00200	639	371.418	257	12.5148
gene-B4U62_00205	330	78.3027	318	73.452
gene-B4U62_00210	441	174.099	226	23.4782
gene-B4U62_00215	990	722.418	1551	38.8308
gene-B4U62_00220	828	560.418	1019	32.8863
gene-B4U62_00225	360	99.4367	446	81.1225
gene-B4U62_00230	744	476.418	48	1.82224
gene-B4U62_00235	300	65.3296	11	3.04534
gene-B4U62_00240	879	611.418	123	3.63848
gene-B4U62_00245	291	62.1261	16532	4812.87
gene-B4U62_00250	1995	1727.42	666	6.97317
gene-B4U62_00255	768	500.418	47	1.69871
gene-B4U62_00260	1314	1046.42	9395	162.385
gene-B4U62_00265	561	293.428	71	4.37633
gene-B4U62_00270	879	611.418	235	6.95157
gene-B4U62_00275	873	605.418	7	0.20912
gene-B4U62_00280	261	54.0695	16339	5465.45
gene-B4U62_00285	186	35.601	190	96.5261
gene-B4U62_00290	870	602.418	127	3.81293
gene-B4U62_00295	858	590.418	1203	36.8518
gene-B4U62_00300	378	114.685	946	149.19
gene-B4U62_00305	294	62.9774	155145	44556
gene-B4U62_00310	1371	1103.42	735	12.0476
gene-B4U62_00315	954	686.418	174	4.58473
gene-B4U62_00320	615	347.418	12781	665.374
gene-B4U62_00325	567	299.428	1020	61.6114
gene-B4U62_00330	231	46.1277	337	132.136
gene-B4U62_00335	3534	3266.42	953	5.27685
gene-B4U62_00340	537	269.447	723	48.5309
gene-B4U62_00345	1599	1331.42	57	0.774308
gene-B4U62_00350	1470	1202.42	236	3.54985
gene-B4U62_00355	261	54.0695	25	8.36259
gene-B4U62_00360	303	66.4914	51	13.8726
gene-B4U62_00365	636	368.418	313	15.3659
gene-B4U62_00370	378	114.685	1052	165.906
gene-B4U62_00375	387	122.693	9902	1459.68
rna-B4U62_00380	77	23.9831	12	9.04961
rna-B4U62_00385	72	20.4545	34.0936	30.1464
gene-B4U62_00390	2484	2216.42	109	0.889463
gene-B4U62_00395	738	470.418	93	3.57563
gene-B4U62_00400	1017	749.418	19	0.458546
gene-B4U62_00405	1419	1151.42	3020	47.4381
gene-B4U62_00410	543	275.438	348	22.8512
gene-B4U62_00415	1914	1646.42	11362	124.815
gene-B4U62_00420	777	509.418	160	5.68066
gene-B4U62_00425	876	608.418	207	6.15349
gene-B4U62_00430	894	626.418	89	2.56968
gene-B4U62_00435	927	659.418	4736	129.898
gene-B4U62_00440	1413	1145.42	258	4.07389
gene-B4U62_00445	585	317.418	671	38.2335
gene-B4U62_00450	882	614.418	265	7.80073
gene-B4U62_00455	858	590.418	169	5.17703
gene-B4U62_00460	363	101.94	8	1.41939
gene-B4U62_00465	504	236.522	30	2.29405
gene-B4U62_00470	210	41.9457	12	5.17425
gene-B4U62_00475	1002	734.418	880	21.6717
gene-B4U62_00480	1500	1232.42	717	10.5224
rna-B4U62_00485	1555	1287.42	968.957	13.6125
rna-B4U62_00490	2933	2665.42	2795.39	18.9684
rna-B4U62_00495	116	21.4417	1.66667	1.40586
rna-B4U62_00500	76	22.9831	6	4.72168
rna-B4U62_00505	76	22.9831	63.5	49.9711
rna-B4U62_00510	76	22.9831	114	89.712
rna-B4U62_00515	83	23.7763	45.3423	34.4915
rna-B4U62_00520	75	21.9831	60.5	49.7761
rna-B4U62_00525	86	24.4167	3.00581e-07	2.22653e-07
rna-B4U62_00530	77	23.9831	34	25.6406
rna-B4U62_00535	77	23.9831	29.6667	22.3727
rna-B4U62_00540	76	22.9831	38.4158	30.2312
rna-B4U62_00545	1555	1287.42	720.676	10.1245
rna-B4U62_00550	2933	2665.42	5387.7	36.5587
rna-B4U62_00555	116	21.4417	1.66667	1.40586
gene-B4U62_00560	465	197.778	878	80.2914
