target_id	length	eff_length	est_counts	tpm
gene-B4U62_00005	1341	1071.73	415	6.07964
gene-B4U62_00010	1137	867.726	430	7.78036
gene-B4U62_00015	216	44.8732	101	35.3385
gene-B4U62_00020	1113	843.726	5539	103.073
gene-B4U62_00025	246	52.1127	111	33.4421
gene-B4U62_00030	1917	1647.73	2623	24.9935
gene-B4U62_00035	2466	2196.73	3082	22.0278
rna-B4U62_00040	1556	1286.73	2325.92	28.3807
rna-B4U62_00045	77	16.9583	1	0.925829
rna-B4U62_00050	76	18.2381	46.9079	40.3813
rna-B4U62_00055	2933	2663.73	9531.77	56.1821
rna-B4U62_00060	116	18.4362	2.33333	1.98709
gene-B4U62_00065	948	678.726	60	1.38794
gene-B4U62_00070	1467	1197.73	3068	40.2172
gene-B4U62_00075	1332	1062.73	3810	56.2882
gene-B4U62_00080	885	615.726	1347	34.3474
gene-B4U62_00085	591	321.737	1223	59.6814
gene-B4U62_00090	1278	1008.73	715	11.1288
rna-B4U62_00095	93	17.2966	670.286	608.433
gene-B4U62_00100	654	384.726	545	22.2412
gene-B4U62_00105	624	354.726	416	18.4126
gene-B4U62_00110	1284	1014.73	104	1.60916
gene-B4U62_00115	546	276.777	200	11.3452
gene-B4U62_00120	486	216.947	368	26.6323
rna-B4U62_00125	265	56.9214	25292	6976.24
gene-B4U62_00130	1692	1422.73	844	9.31397
gene-B4U62_00135	324	74.777	337	70.758
gene-B4U62_00140	597	327.737	142	6.80262
gene-B4U62_00145	225	46.8486	45	15.081
gene-B4U62_00150	264	56.6267	9	2.49537
rna-B4U62_00155	1554	1284.73	154.979	1.89399
rna-B4U62_00160	77	16.9583	1	0.925829
rna-B4U62_00165	76	18.2381	46.9079	40.3813
rna-B4U62_00170	2933	2663.73	2227.22	13.1277
rna-B4U62_00175	116	18.4362	2.33333	1.98709
gene-B4U62_00180	195	38.8834	11	4.44162
gene-B4U62_00185	615	345.737	950	43.1411
gene-B4U62_00190	1161	891.726	1277	22.484
gene-B4U62_00195	1443	1173.73	1383	18.4999
gene-B4U62_00200	639	369.726	262	11.1259
gene-B4U62_00205	330	77.5084	350	70.8978
gene-B4U62_00210	441	172.508	307	27.9411
gene-B4U62_00215	990	720.726	1817	39.5821
gene-B4U62_00220	828	558.726	1078	30.2924
gene-B4U62_00225	360	98.1008	559	89.4649
gene-B4U62_00230	744	474.726	36	1.19062
gene-B4U62_00235	300	65.7737	5	1.19352
gene-B4U62_00240	879	609.726	119	3.06426
gene-B4U62_00245	291	63.1088	15994	3979.07
gene-B4U62_00250	1995	1725.73	807	7.34202
gene-B4U62_00255	768	498.726	40	1.25925
gene-B4U62_00260	1314	1044.73	11334	170.331
gene-B4U62_00265	561	291.777	88	4.73528
gene-B4U62_00270	879	609.726	292	7.51904
gene-B4U62_00275	873	603.726	18	0.468109
gene-B4U62_00280	261	55.8166	16048	4514.1
gene-B4U62_00285	186	37.1354	175	73.9884
gene-B4U62_00290	870	600.726	165	4.31242
gene-B4U62_00295	858	588.726	1488	39.6829
gene-B4U62_00300	378	113.486	1245	172.243
gene-B4U62_00305	294	63.9722	157698	38703.3
gene-B4U62_00310	1371	1101.73	850	12.1132
gene-B4U62_00315	954	684.726	222	5.09038
gene-B4U62_00320	615	345.737	13246	601.523
gene-B4U62_00325	567	297.757	1048	55.2602
gene-B4U62_00330	231	48.2235	334	108.743
gene-B4U62_00335	3534	3264.73	965	4.64082
gene-B4U62_00340	537	267.786	929	54.468
gene-B4U62_00345	1599	1329.73	69	0.814706
gene-B4U62_00350	1470	1200.73	217	2.83746
gene-B4U62_00355	261	55.8166	29	8.15734
gene-B4U62_00360	303	66.9376	49	11.4932
gene-B4U62_00365	636	366.726	316	13.5288
gene-B4U62_00370	378	113.486	1188	164.357
gene-B4U62_00375	387	121.484	11852	1531.74
rna-B4U62_00380	77	16.9583	10	9.25829
rna-B4U62_00385	72	16.8333	26.4553	24.6749
gene-B4U62_00390	2484	2214.73	92	0.652201
gene-B4U62_00395	738	468.726	88	2.94766
gene-B4U62_00400	1017	747.726	19	0.398956
gene-B4U62_00405	1419	1149.73	3101	42.3469
gene-B4U62_00410	543	273.777	381	21.8495
gene-B4U62_00415	1914	1644.73	12499	119.315
gene-B4U62_00420	777	507.726	154	4.76218
gene-B4U62_00425	876	606.726	229	5.92593
gene-B4U62_00430	894	624.726	93	2.33726
gene-B4U62_00435	927	657.726	6295	150.267
gene-B4U62_00440	1413	1143.73	281	3.85743
gene-B4U62_00445	585	315.737	698	34.7091
